"hour","casual","member"
0,00:26:31,00:13:18
1,00:26:47,00:14:32
2,00:27:13,00:14:23
3,00:27:28,00:14:35
4,00:24:18,00:13:00
5,00:20:07,00:11:39
6,00:17:55,00:12:16
7,00:18:41,00:12:20
8,00:21:25,00:12:14
9,00:26:43,00:12:37
10,00:30:01,00:13:29
11,00:30:43,00:13:41
12,00:30:01,00:13:27
13,00:30:53,00:13:41
14,00:30:38,00:14:09
15,00:29:13,00:14:04
16,00:27:25,00:14:09
17,00:25:50,00:14:18
18,00:25:08,00:14:08
19,00:25:33,00:13:55
20,00:26:06,00:13:46
21,00:25:43,00:13:27
22,00:25:27,00:13:41
23,00:25:44,00:13:33
